job_title,company_name,location,salary,job_type,experience_required,education_required,skills_required,job_description,posted_date,source
Backend Developer,ABB Morocco,Kenitra,16100 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Redis, Microservices, PostgreSQL, REST API",Great opportunity for career growth as a Backend Developer.,2025-12-07,Generated
Staff UX/UI Designer,Wafa Assurance,Safi,20200 MAD/month,Part-time,8+ years,Bachelor's Degree,"UI Design, UX Design, Responsive Design, Wireframing",Great opportunity for career growth as a Staff UX/UI Designer.,2025-12-28,Generated
Data Engineer,Label'Vie,Rabat,18000 MAD/month,Full-time,3-5 years,Bachelor's Degree,"AWS, Git, SQL, Python, PostgreSQL",Join our dynamic team as a Data Engineer.,2025-12-02,Generated
Quality Engineer,Webhelp Morocco,Casablanca,7000 MAD/month,Internship,2-5 years,Bachelor's Degree,"Process Improvement, Quality Management, Documentation, Testing, Auditing, Statistical Analysis",Join our dynamic team as a Quality Engineer.,2025-12-19,Generated
Junior Chemical Engineer,Talan Morocco,Casablanca,10500 MAD/month,Contract,1-3 years,Master's Degree,"Safety Management, Chemical Processes, Troubleshooting, Process Simulation",We are looking for a talented Junior Chemical Engineer to join our growing team.,2025-12-22,Generated
Staff Electrical Engineer,Capgemini Morocco,Fes,13400 MAD/month,Internship,8+ years,Master's Degree,"Electrical Safety, Circuit Design, Power Systems, Control Systems, Troubleshooting, PLC",Seeking an experienced Staff Electrical Engineer for innovative projects.,2025-11-02,Generated
Product Designer,Umanis Morocco,Oujda,12000 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Figma, Prototyping, UX Design, User Research, Interaction Design",Exciting opportunity for a Product Designer in Oujda.,2025-11-18,Generated
Junior Data Scientist,Orange Morocco,Rabat,11700 MAD/month,Internship,0-1 years,Master's Degree,"TensorFlow, NumPy, R, Machine Learning",Join our dynamic team as a Junior Data Scientist.,2025-12-30,Generated
Principal Operations Manager,Centrale Danone,Tetouan,24800 MAD/month,Contract,8+ years,Master's Degree,"Strategic Planning, Operations Management, Leadership, Budgeting",Seeking an experienced Principal Operations Manager for innovative projects.,2025-12-22,Generated
Software Engineer,Faurecia Morocco,Khouribga,18900 MAD/month,Full-time,2-5 years,Master's Degree,"C++, Git, Docker, REST API, Design Patterns",Seeking an experienced Software Engineer for innovative projects.,2025-11-20,Generated
Staff Graphic Designer,Latecoere Morocco,Agadir,17500 MAD/month,Part-time,10+ years,Bachelor's Degree,"Typography, Adobe Illustrator, Adobe Photoshop, Creative Thinking, Layout Design",Seeking an experienced Staff Graphic Designer for innovative projects.,2025-12-27,Generated
Staff Sales Engineer,BDO Morocco,Rabat,18900 MAD/month,Part-time,10+ years,Bachelor's Degree,"Negotiation, Communication, Technical Documentation, Technical Sales, Problem Solving",Join our dynamic team as a Staff Sales Engineer.,2025-12-01,Generated
Product Designer,Bain & Company Morocco,Rabat,8800 MAD/month,Internship,3-5 years,Bachelor's Degree,"Wireframing, Design Systems, Prototyping, Usability Testing, Product Design, UX Design",Join our dynamic team as a Product Designer.,2025-11-20,Generated
Staff QA Engineer,ANP Morocco,Safi,13700 MAD/month,Full-time,5-8 years,Master's Degree,"Selenium, Testing, JIRA, Test Planning",Seeking an experienced Staff QA Engineer for innovative projects.,2025-11-24,Generated
Staff Aerospace Engineer,Tanger Med Port,Kenitra,18300 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Quality Control, Testing, Manufacturing Processes, Systems Engineering, MATLAB, Aerodynamics",Join our dynamic team as a Staff Aerospace Engineer.,2025-12-29,Generated
Principal Product Manager,ONCF,Rabat,99400 MAD/month,Full-time,10+ years,Master's Degree,"Market Analysis, Product Strategy, A/B Testing, Prioritization",Seeking an experienced Principal Product Manager for innovative projects.,2025-12-29,Generated
Principal Maintenance Technician,SAP Morocco,Marrakech,12200 MAD/month,Internship,8+ years,Master's Degree,"Equipment Repair, Mechanical Systems, Safety Procedures, Hydraulics",Great opportunity for career growth as a Principal Maintenance Technician.,2025-12-22,Generated
Recruiter,Nexans Morocco,Meknes,11200 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Interviewing, Talent Acquisition, HR Policies, Negotiation, Communication, Employer Branding",Exciting opportunity for a Recruiter in Meknes.,2025-11-27,Generated
Senior Industrial Engineer,Altran Morocco,El Jadida,28700 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Quality Control, Lean Manufacturing, Supply Chain, Cost Analysis, Six Sigma, Project Management",Great opportunity for career growth as a Senior Industrial Engineer.,2025-12-03,Generated
Lead QA Engineer,Crédit Agricole Morocco,Marrakech,14900 MAD/month,Full-time,5+ years,Master's Degree,"QA Methodologies, Test Planning, Agile, Regression Testing",We are looking for a talented Lead QA Engineer to join our growing team.,2025-12-26,Generated
Principal Test Engineer,Lear Corporation,Kenitra,64900 MAD/month,Full-time,10+ years,Master's Degree,"Agile, Selenium, Testing, Bug Tracking",Seeking an experienced Principal Test Engineer for innovative projects.,2025-11-15,Generated
Principal Systems Analyst,CDG Capital,Marrakech,10100 MAD/month,Part-time,5-8 years,Master's Degree,"Documentation, Business Process Analysis, Agile, Systems Design",Join our dynamic team as a Principal Systems Analyst.,2025-11-19,Generated
Database Administrator,Tanger Med Port,Safi,9900 MAD/month,Full-time,2-4 years,Bachelor's Degree,"PostgreSQL, Performance Tuning, Oracle, SQL, Replication",Seeking an experienced Database Administrator for innovative projects.,2025-11-12,Generated
Web Developer,Centrale Danone,Casablanca,16000 MAD/month,Full-time,2-5 years,Bachelor's Degree,"Git, HTML, Bootstrap, CSS",Great opportunity for career growth as a Web Developer.,2025-11-30,Generated
Risk Analyst,Safran Morocco,Tangier,20400 MAD/month,Full-time,2-4 years,Master's Degree,"SQL, Excel, Audit, Statistics, Financial Analysis",We are looking for a talented Risk Analyst to join our growing team.,2025-11-20,Generated
Principal Test Engineer,CTM Morocco,Tetouan,52600 MAD/month,Full-time,5-8 years,Master's Degree,"API Testing, Testing, Test Automation, Test Cases, Selenium, JIRA",We are looking for a talented Principal Test Engineer to join our growing team.,2025-11-02,Generated
Electrical Engineer,SMIT,Casablanca,10300 MAD/month,Internship,3-5 years,Bachelor's Degree,"Power Systems, Troubleshooting, Circuit Design, Electrical Design",Exciting opportunity for a Electrical Engineer in Casablanca.,2025-12-02,Generated
Database Administrator,Wafa Assurance,Tangier,9400 MAD/month,Part-time,3-5 years,Master's Degree,"Performance Tuning, Monitoring, Oracle, MySQL, Security, Replication",Great opportunity for career growth as a Database Administrator.,2025-12-28,Generated
Technical Manager,Maroc Telecom,Agadir,19500 MAD/month,Full-time,5-8 years,Master's Degree,"Communication, Leadership, Agile, Project Management, Team Management",We are looking for a talented Technical Manager to join our growing team.,2025-12-16,Generated
Network Engineer,Lydec,Khouribga,7500 MAD/month,Internship,3-5 years,Bachelor's Degree,"TCP/IP, Cisco, VPN, Network Security, Firewall",Join our dynamic team as a Network Engineer.,2025-12-25,Generated
Lead Help Desk Analyst,Wavestone Morocco,Fes,12800 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Help Desk, Customer Service, Windows, Ticketing Systems, Technical Support, Remote Support",Exciting opportunity for a Lead Help Desk Analyst in Fes.,2025-11-26,Generated
IT Support Specialist,Webhelp Morocco,Tangier,14500 MAD/month,Contract,3-5 years,Bachelor's Degree,"Documentation, Customer Service, Hardware, Troubleshooting, Remote Support, Technical Support",Exciting opportunity for a IT Support Specialist in Tangier.,2025-11-14,Generated
Staff Quality Engineer,Vivo Energy,Meknes,16200 MAD/month,Full-time,10+ years,Bachelor's Degree,"Six Sigma, Testing, Auditing, ISO Standards",Seeking an experienced Staff Quality Engineer for innovative projects.,2025-12-29,Generated
Staff Training Specialist,BNP Paribas Morocco,Tangier,15100 MAD/month,Full-time,5-8 years,Bachelor's Degree,"Instructional Design, Communication, Training & Development, Facilitation",Great opportunity for career growth as a Staff Training Specialist.,2025-12-10,Generated
Staff HR Manager,ZTE Morocco,Rabat,24200 MAD/month,Contract,10+ years,Master's Degree,"Performance Management, Conflict Resolution, Communication, Training & Development",We are looking for a talented Staff HR Manager to join our growing team.,2025-12-15,Generated
Industrial Engineer,OCP Group,El Jadida,8500 MAD/month,Part-time,3-5 years,Bachelor's Degree,"AutoCAD, Six Sigma, Lean Manufacturing, Process Optimization",Seeking an experienced Industrial Engineer for innovative projects.,2025-12-29,Generated
Data Scientist,Capgemini Morocco,Oujda,14600 MAD/month,Internship,3-5 years,Master's Degree,"Data Analysis, Machine Learning, Statistics, R",We are looking for a talented Data Scientist to join our growing team.,2025-12-15,Generated
Staff Sales Engineer,Atlanta Assurances,Rabat,17600 MAD/month,Full-time,10+ years,Bachelor's Degree,"Technical Documentation, Presentations, Product Knowledge, Communication, Technical Sales",Exciting opportunity for a Staff Sales Engineer in Rabat.,2025-12-23,Generated
Civil Engineer,PSA Morocco,Casablanca,6800 MAD/month,Part-time,2-4 years,Bachelor's Degree,"Surveying, Site Supervision, Construction Management, AutoCAD, Cost Estimation, Structural Design",Seeking an experienced Civil Engineer for innovative projects.,2025-12-18,Generated
Senior Product Designer,Altran Morocco,Casablanca,15300 MAD/month,Part-time,5+ years,Bachelor's Degree,"UX Design, Usability Testing, User Research, Product Design",Join our dynamic team as a Senior Product Designer.,2025-12-06,Generated
Lead Electronics Technician,Amendis,Marrakech,15100 MAD/month,Full-time,5-8 years,Master's Degree,"Multimeter, Troubleshooting, Circuit Analysis, Soldering, Testing",Seeking an experienced Lead Electronics Technician for innovative projects.,2025-11-07,Generated
Lead Product Manager,ANP Morocco,Fes,14600 MAD/month,Full-time,5+ years,Bachelor's Degree,"Analytics, Product Strategy, Communication, Agile",Seeking an experienced Lead Product Manager for innovative projects.,2025-11-11,Generated
Electronics Technician,Atos Morocco,Fes,9300 MAD/month,Contract,1-3 years,Diploma,"Repair, Embedded Systems, Troubleshooting, Soldering, Circuit Analysis, Electronics",Join our dynamic team as a Electronics Technician.,2025-11-28,Generated
Junior Quality Engineer,Valeo Morocco,Tetouan,16900 MAD/month,Full-time,0-1 years,Bachelor's Degree,"Six Sigma, ISO Standards, Quality Management, Statistical Analysis, Documentation",We are looking for a talented Junior Quality Engineer to join our growing team.,2025-11-11,Generated
Backend Developer,Faurecia Morocco,Rabat,12800 MAD/month,Part-time,2-5 years,Bachelor's Degree,"Python, PostgreSQL, REST API, Redis",Join our dynamic team as a Backend Developer.,2025-11-28,Generated
UX/UI Designer,Matis Aerospace,Khouribga,14700 MAD/month,Full-time,3-5 years,Bachelor's Degree,"UI Design, Figma, UX Design, Usability Testing, Design Thinking, Wireframing",Exciting opportunity for a UX/UI Designer in Khouribga.,2025-11-18,Generated
Operations Manager,KPMG Morocco,Beni Mellal,17400 MAD/month,Part-time,10+ years,Master's Degree,"Leadership, Operations Management, Continuous Improvement, Budgeting, KPI Management, Process Optimization",Great opportunity for career growth as a Operations Manager.,2025-12-05,Generated
Senior Systems Engineer,Altran Morocco,Oujda,20000 MAD/month,Full-time,8+ years,Master's Degree,"Scripting, Windows Server, Docker, Security, Networking",Great opportunity for career growth as a Senior Systems Engineer.,2025-12-09,Generated
Cloud Engineer,Cosumar,Fes,15600 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Terraform, Kubernetes, Linux, Docker",Join our dynamic team as a Cloud Engineer.,2025-12-27,Generated
Data Scientist,OCP Group,Beni Mellal,14100 MAD/month,Internship,2-5 years,Master's Degree,"Tableau, Machine Learning, R, TensorFlow, NumPy",Seeking an experienced Data Scientist for innovative projects.,2025-12-08,Generated
Lead Civil Engineer,SAP Morocco,Marrakech,21500 MAD/month,Full-time,5-8 years,Master's Degree,"Project Management, Structural Design, Site Supervision, AutoCAD",We are looking for a talented Lead Civil Engineer to join our growing team.,2025-12-04,Generated
Business Analyst,Latecoere Morocco,Tetouan,10300 MAD/month,Full-time,2-5 years,Master's Degree,"SQL, Agile, UML, Stakeholder Management, Power BI, Requirements Analysis",Exciting opportunity for a Business Analyst in Tetouan.,2025-12-25,Generated
Lead Automotive Engineer,Renault Morocco,Safi,29800 MAD/month,Contract,8+ years,Master's Degree,"CATIA, Automotive Design, Testing, Quality Control, Project Management, Manufacturing",Exciting opportunity for a Lead Automotive Engineer in Safi.,2025-11-16,Generated
Junior Systems Analyst,KPMG Morocco,Tetouan,6200 MAD/month,Internship,0-2 years,Bachelor's Degree,"UML, Systems Design, Requirements Analysis, Business Process Analysis, Documentation, Technical Writing",Exciting opportunity for a Junior Systems Analyst in Tetouan.,2025-11-11,Generated
Junior Automotive Engineer,ANP Morocco,Meknes,20200 MAD/month,Full-time,0-1 years,Master's Degree,"Quality Control, Project Management, Manufacturing, Automotive Design",Great opportunity for career growth as a Junior Automotive Engineer.,2025-12-20,Generated
Account Manager,McKinsey Morocco,Rabat,30700 MAD/month,Contract,8+ years,Bachelor's Degree,"Account Management, Sales, Problem Solving, Communication, Negotiation, Strategic Planning",Join our dynamic team as a Account Manager.,2025-11-10,Generated
Senior Systems Analyst,Alten Morocco,Casablanca,21400 MAD/month,Full-time,8+ years,Bachelor's Degree,"Systems Design, UML, Business Process Analysis, SQL",Join our dynamic team as a Senior Systems Analyst.,2025-12-23,Generated
UX/UI Designer,Safran Morocco,Tangier,19300 MAD/month,Full-time,3-5 years,Bachelor's Degree,"User Research, Wireframing, Prototyping, UI Design, Figma",We are looking for a talented UX/UI Designer to join our growing team.,2025-12-30,Generated
Civil Engineer,FedEx Morocco,Rabat,17900 MAD/month,Contract,2-5 years,Master's Degree,"AutoCAD, Revit, Cost Estimation, Surveying",Great opportunity for career growth as a Civil Engineer.,2025-12-28,Generated
Product Designer,Siemens Morocco,Mohammedia,10200 MAD/month,Part-time,3-5 years,Bachelor's Degree,"Usability Testing, Product Design, Figma, User Research, Design Systems, Prototyping",We are looking for a talented Product Designer to join our growing team.,2025-11-17,Generated
Junior Risk Analyst,Cosumar,Casablanca,18400 MAD/month,Full-time,1-3 years,Bachelor's Degree,"Risk Management, SQL, Excel, Statistics, Data Analysis, Financial Analysis",Exciting opportunity for a Junior Risk Analyst in Casablanca.,2025-11-21,Generated
Test Engineer,CGI Morocco,Rabat,15300 MAD/month,Part-time,3-5 years,Bachelor's Degree,"QA, Bug Tracking, Testing, JIRA, Agile",Great opportunity for career growth as a Test Engineer.,2025-11-29,Generated
